Titre Article;Source;Date;Pays;Journal;Texte Article;Domaine;Isclimate;Prédiction
Ski de fond - Championnats de France d'été. Lucas Chanavat et Léonie Besson couronnés champions de France de sprint classique à Arçon;https://www.ledauphine.com/skichrono/2023/10/07/lucas-chanavat-et-leonie-besson-champions-de-france-de-sprint-classique-a-arcon;2023-10-07 18:13:00;France;LeDauphine.fr;Les championnats de France d'été de ski de fond se déroulent à Arçon (Doubs) ce week-end. Ce samedi, le sprint classique a été dominé par Léonie Besson et Lucas Chanavat chez les seniors.;"SkiChrono; Ski-roues; Ski de fond; Ain; Savoie; Haute-Savoie; Isère; Hautes-Alpes; Sports d'hiver; Sport";;FALSE
Haute-Savoie. Prime de vie chère : le monde syndical pas convaincu;https://www.ledauphine.com/economie/2023/10/07/prime-de-vie-chere-le-monde-syndical-pas-convaincu;2023-10-07 17:10:00;France;LeDauphine.fr;Après les annonces sur la prime de vie chère en Haute-Savoie, les syndicats réagissent.;"Economie; Haute-Savoie; Frontaliers; Edition Grand Genève / Chablais / Ain; Annemasse; Annemasse-bassin; Gex; Annemasse / Agglomération; Ain; Frontaliers; Annecy; Emploi";;FALSE
Région. Wauquiez et le Zéro artificialisation nette : l’écologiste Pierre Janot saisit la préfecture;https://www.ledauphine.com/economie/2023/10/07/wauquiez-et-le-zero-artificialisation-nette-l-ecologiste-pierre-janot-saisit-la-prefecture;2023-10-07 15:01:00;France;LeDauphine.fr;Il y a une semaine, le président d’Auvergne-Rhône-Alpes, Laurent Wauquiez, annonçait lors du congrès national des maires ruraux, que la Région allait se retirer du dispositif Zéro artificialisation nette. Son opposant écologiste, Pierre Janot, demande « le respect de la loi ».;"Economie; BTP et chantiers; Immobilier; Environnement; Politique; Europe Ecologie-Les Verts; Société; Logement; Ain; Haute-Savoie; Drôme; Ardèche; Isère";1;TRUE
Covid-19. L'épidémie flambe en Isère, Savoie et Ardèche;https://www.ledauphine.com/sante/2023/10/07/l-epidemie-flambe-en-isere-savoie-et-ardeche;2023-10-07 14:17:00;France;LeDauphine.fr;Les dernières données confirment la tendance : le Covid-19 est plus que jamais de retour.;"Santé; Coronavirus; Société; Fil Info; France - Monde; Savoie; Ardèche; Drôme; Isère; Ain; Haute-Provence; Hautes-Alpes; Haute-Savoie; Vaucluse; Edition Annecy / Rumilly / Les Aravis; Edition Annonay / Nord Ardèche; Edition Aubenas / Privas / Vallée du Rhône; Edition Bourgoin-Jallieu / Nord-Dauphiné; Edition Chambéry / Aix-les-Bains; Edition Grand Genève / Chablais / Ain; Edition Grenoble / Agglomération; Edition Grésivaudan / Oisans; Edition Hautes-Alpes / Alpes de Haute-Provence; Edition La Tour-du-Pin / Nord-Dauphiné; Edition Mont-Blanc / Arve; Edition Montélimar / Drôme Provençale; Edition Provençale; Edition Romans / Nord Drôme; Edition Tarentaise / Maurienne; Edition Valence / Rhône Crussol / Vallée de la Drôme; Edition Vienne / Roussillon; Edition Voiron / Saint-Marcellin";;FALSE
Haute-Savoie. Projet d’un abattoir départemental : un signal positif du Pays rochois;https://www.ledauphine.com/politique/2023/10/07/un-signal-positif-de-la-ccpr-pour-le-projet-d-un-abattoir-departemental;2023-10-07 11:19:00;France;LeDauphine.fr;Lors du dernier conseil communautaire, les élus se sont prononcés favorablement sur le principe d’un projet d’un abattoir départemental, et qui se situerait géographiquement au centre du département.;"Politique; La Roche-sur-Foron; Faucigny-bassin; Edition Mont-Blanc / Arve; Haute-Savoie; Agriculture; Ain";;FALSE
Ardèche. Après Coucouron et Berzème, une nouvelle attaque de loup à Pourchères ?;https://www.ledauphine.com/faits-divers-justice/2023/10/10/apres-coucouron-et-berzeme-une-nouvelle-attaque-de-loup-a-pourcheres;2023-10-10 13:37:00;France;LeDauphine.fr;Après deux attaques en trois jours à Berzème, dans le Coiron, et à Coucouron, sur la montagne ardéchoise, la préfète Sophie Elizéon a rencontré les éleveurs ce lundi soir.;"Faits-divers - Justice; Ardèche; Environnement; LOUP; loup; Coucouron; Berzème; Pourchères; Edition Aubenas / Privas / Vallée du Rhône; Fil Info";;FALSE
Ardèche. Une Ardéchoise a fait plusieurs milliers d’euros de dons : « Nous vivons dans un monde égoïste. J’avais envie d’aider les autres »;https://www.ledauphine.com/societe/2023/10/10/une-ardechoise-a-fait-plusieurs-milliers-d-euros-de-dons-nous-vivons-dans-un-monde-egoiste-j-avais-envie-d-aider-les-autres;2023-10-10 11:47:00;France;LeDauphine.fr;Une Ardéchoise a décidé de faire plusieurs milliers d’euros de dons à la SPA de Lavilledieu, à l’association Aubenas partage et à la commune de Marcols-les-Eaux. Des financements aussi rares qu’inattendus qui ont permis de financer à chaque fois des projets importants.;"Société; Insolite; Aubenas; Aubenas-bassin; Edition Aubenas / Privas / Vallée du Rhône; Marcols-les-Eaux; Lavilledieu; Fil Info; Economie; Ardèche";;FALSE
Ardèche. Nouvelles attaques de troupeau : « C’est au loup de reculer, pas à l’agriculture »;https://www.ledauphine.com/faits-divers-justice/2023/10/09/nouvelles-attaques-de-troupeau-en-ardeche-c-est-au-loup-de-reculer-pas-a-l-agriculture;2023-10-09 22:53:00;France;LeDauphine.fr;Après de nouvelles attaques attribuées au loup à Berzème et Coucouron, la nouvelle préfète de l’Ardèche Sophie Elizeon s’est rendue sur le plateau Coiron lundi 9 octobre. Face à la colère des éleveurs, la représentante de l’État présente le futur Plan loup comme une possible solution.;"Faits-divers - Justice; Ardèche; Berzème; Pays de Berg et Coiron; Edition Aubenas / Privas / Vallée du Rhône; Fil Info; Environnement; Agriculture";;FALSE
Ardèche / Paris. « Un baptême du feu » pour le sénateur Mathieu Darnaud;https://www.ledauphine.com/politique/2023/10/09/un-bapteme-du-feu-pour-le-senateur-mathieu-darnaud;2023-10-09 17:36:00;France;LeDauphine.fr;Anne Ventalon et Mathieu Darnaud, les sénateurs LR de l’Ardèche, vont retrouver l’hémicycle mardi 10 octobre. Avec un nouveau poste pour l’ancien maire de Guilherand-Granges, qui a rejoint le bureau exécutif.;"Politique; Les Républicains; Ardèche; Privas; Edition Aubenas / Privas / Vallée du Rhône; Guilherand-Granges; Edition Valence / Rhône Crussol / Vallée de la Drôme; Edition Annonay / Nord Ardèche";;FALSE
Félines. Trois générations réunies pour fêter les 50 ans du plombier chauffagiste A. Grange et fils;https://www.ledauphine.com/economie/2023/10/09/trois-generations-reunies-pour-feter-les-50-ans-du-plombier-chauffagiste-a-grange-et-fils;2023-10-09 10:51:00;France;LeDauphine.fr;Spécialiste de l’installation et du dépannage en plomberie, chauffage et climatisation et en particulier dans les énergies renouvelables, l’entreprise célèbre son demi-siècle d’existence. Une histoire familiale.;"Economie; Vie des entreprises; Direct Entreprises; Félines; Bassin Annoneen; Edition Annonay / Nord Ardèche; Ardèche";;FALSE
